"X.IncMSE" "X.IncMSE.pval" "IncNodePurity" "IncNodePurity.pval" "Variable" "Community" "Diversity"
"BD3" 5.176 0.252 0.013 0.97 "BD" "Bacteria" "C-cycling"
"Tot_N3" 4.979 0.401 0.015 0.723 "Tot_N" "Bacteria" "C-cycling"
"Sample3" 4.618 0.199 0.016 0.761 "Sample" "Bacteria" "C-cycling"
"MAT3" 3.971 0.264 0.02 0.121 "MAT" "Bacteria" "C-cycling"
"N_min3" 3.517 0.404 0.03 0.012 "N_min" "Bacteria" "C-cycling"
"Succession3" 3.33 0.301 0.004 0.423 "Succession" "Bacteria" "C-cycling"
"MAP3" 2.94 0.231 0.017 0.356 "MAP" "Bacteria" "C-cycling"
"Parent_material3" -1.884 0.748 0.006 0.603 "Parent_material" "Bacteria" "C-cycling"
"LDMC4" 11.99 0.014 0.027 0.053 "LDMC" "Fungi" "P-cycling"
"MAP4" 11.86 0.009 0.024 0.063 "MAP" "Fungi" "P-cycling"
"MAT4" 10.483 0.013 0.027 0.007 "MAT" "Fungi" "P-cycling"
"pH4" 6.146 0.127 0.015 0.452 "pH" "Fungi" "P-cycling"
"Sample4" 5.166 0.144 0.017 0.8 "Sample" "Fungi" "P-cycling"
"Tot_N4" 3.791 0.355 0.017 0.628 "Tot_N" "Fungi" "P-cycling"
"Tot_C4" 3.751 0.433 0.016 0.77 "Tot_C" "Fungi" "P-cycling"
"C.N4" 1.862 0.526 0.021 0.233 "C.N" "Fungi" "P-cycling"
"Parent_material4" 0.331 0.363 0.004 0.964 "Parent_material" "Fungi" "P-cycling"
"N_min4" -0.99 0.77 0.015 0.928 "N_min" "Fungi" "P-cycling"
"BD4" -1.074 0.773 0.012 0.999 "BD" "Fungi" "P-cycling"
"Succession4" -1.215 0.829 0.005 0.397 "Succession" "Fungi" "P-cycling"
"Sample5" 12.986 0.006 0.006 0.044 "Sample" "Bacteria" "P-cycling"
"N_min5" 12.217 0.017 0.005 0.143 "N_min" "Bacteria" "P-cycling"
"Tot_C5" 11.897 0.02 0.004 0.289 "Tot_C" "Bacteria" "P-cycling"
"LDMC5" 9.643 0.042 0.003 0.599 "LDMC" "Bacteria" "P-cycling"
"C.N5" 9.439 0.054 0.003 0.874 "C.N" "Bacteria" "P-cycling"
"pH5" 7.967 0.093 0.002 0.798 "pH" "Bacteria" "P-cycling"
"Tot_N5" 6.78 0.242 0.004 0.401 "Tot_N" "Bacteria" "P-cycling"
"MAT5" 6.759 0.109 0.004 0.073 "MAT" "Bacteria" "P-cycling"
"Succession5" 6.605 0.054 0.001 0.247 "Succession" "Bacteria" "P-cycling"
"MAP5" 2.853 0.237 0.003 0.654 "MAP" "Bacteria" "P-cycling"
"BD5" 2.068 0.595 0.003 0.91 "BD" "Bacteria" "P-cycling"
"Parent_material5" -1.708 0.719 0.001 0.719 "Parent_material" "Bacteria" "P-cycling"
"C.N6" 23.854 0.001 0.93 0.001 "C.N" "Bacteria" "N-cycling"
"LDMC6" 15.64 0.001 0.65 0.004 "LDMC" "Bacteria" "N-cycling"
"pH6" 10.745 0.024 0.386 0.056 "pH" "Bacteria" "N-cycling"
"Succession6" 9.776 0.01 0.29 0.002 "Succession" "Bacteria" "N-cycling"
"Tot_N6" 6.852 0.167 0.188 0.998 "Tot_N" "Bacteria" "N-cycling"
"Sample6" 6.072 0.109 0.211 0.988 "Sample" "Bacteria" "N-cycling"
"BD6" 4.971 0.242 0.177 1 "BD" "Bacteria" "N-cycling"
"Tot_C6" 3.878 0.569 0.21 0.988 "Tot_C" "Bacteria" "N-cycling"
"Parent_material6" 2.952 0.128 0.098 0.602 "Parent_material" "Bacteria" "N-cycling"
"N_min6" 1.554 0.592 0.159 1 "N_min" "Bacteria" "N-cycling"
"MAP6" 1.423 0.369 0.115 1 "MAP" "Bacteria" "N-cycling"
"MAT6" 0.976 0.525 0.169 0.988 "MAT" "Bacteria" "N-cycling"
