"Sample" "Par" "Lat" "Long" "Landuse" "Succession" "Stage" "Ecosystem_type" "Date.collected" "Parent_material" "Distance" "Soil_water" "BD" "pH" "P" "K" "Mg" "Ca" "Al" "Fe" "Tot_C" "Tot_N" "C.N" "d15N" "d13C" "C.stock" "NH4" "NO3" "N_min" "NH4_t28" "NO3_t28" "N_min_t28" "NH4_mineralized" "NO3_mineralized" "N_min_mineralized" "Klimatnr.precip" "MAT" "MAP" "LDMC" "Leaf_C.N" "Litter_C" "Litter_C.N" "Litter_N" "Litter_P" "LN" "Leaf_lignin" "Lignin.N" "Basal_resp" "Glycine_resp" "Lignin_resp" "AY_resp" "OA_resp" "Glucose_resp" "Chitin_resp" "No_genomes" "Copy_16S" "AGS" "Max_GR" "abundance_16S" "abundance_ITS" "FB_abundance"
"11" "Sample_011" 6 60.4061111111111 17.9075 "Forest" "Forest" 4 "Forest" "04-aug" "Moraine" 4967.59320674476 35.2 1 5.8 1.9 10.3 12.4 625 35 31 8.17 0.457 17.9 1.58 -28.66 81.7 6.4 14 20.4 65.6 49.7 115.3 59.2 35.7 94.9 107250 6.17148003424 646.26475274 495.873854622145 31.4115573641236 NA 76.36875 8.67666666666667 0.824791666666667 17.2661961615511 NA NA 2.287 11.9456414389075 5.34366568106946 22.8372327947698 34.7186427881662 19.1420646893495 0.61599450871178 NA NA NA NA 4.90691860564985 3.11927456419916 0.635689077990331
"12" "Sample_012" 6 60.4080555555556 17.9977777777778 "Abandoned former arable field" "Late" 3 "Grassland" "04-aug" "Moraine" 4967.59320674476 31.6 1.01 6.8 44.3 9.8 12.7 694 21 16 5.42 0.418 13 5.4 -27.82 54.7 4.5 38.9 43.4 1.2 14.6 15.8 -3.3 -24.3 -27.6 107250 6.29183631277 646.26475274 450.547969533438 21.4601008882141 451.152274975986 42.9583333333333 13.7900017773287 1.34264880605209 25.823830286249 57.7952850026644 2.23806013136014 0.616 5.74948721948854 2.49710196401696 6.82448669316284 5.55090522522142 7.01148307362721 0.0997851218746214 NA NA NA NA 5.24098110893882 3.16182696464814 0.603289135932096
"13" "Sample_013" 7 60.4069444444444 17.915 "Forest" "Forest" 4 "Forest" "04-aug" "Moraine" 6019.97419540646 26.5 1.47 5.2 2.3 8.7 12.3 172 43 33 5.04 0.155 32.5 3.88 -26.11 74.1 4.3 0.3 4.6 71.8 0 71.8 67.5 -0.3 67.2 107250 6.29183631277 646.26475274 499.37929616553 36.6873426218116 559.097609486306 118.125 7.40829778287462 0.666871812886596 14.7992782063922 153.993663348832 10.4054847271077 1.208 3.55609013764807 0.0977540867187516 7.17017434112111 6.21005635114847 3.74520851836055 0.912968397297385 NA NA NA NA 4.66379060437296 3.11644015450405 0.668220428160293
"14" "Sample_014" 7 60.4210135979489 18.0207585942547 "Grazed grassland" "Managed" 1 "Grassland" "04-aug" "Moraine" 6019.97419540646 103.8 0.74 5.9 2.8 13.8 20.7 609 41 44 9.76 0.673 14.5 3.8 -28.45 72.2 8.6 47.1 55.7 8.5 240.6 249.1 -0.1 193.5 193.4 107250 6.29183631277 646.26475274 458.104430782234 22.1252134120482 509.4824253855 76.5331578947368 12.2409375 0.695999406552132 23.8605529035901 81.9061881797568 3.43270285943093 0.637 5.06224818958506 2.5007740375261 4.82456286243032 2.94980710813174 3.45316630646331 -0.141956376907012 NA NA NA NA 5.06303701770248 2.96308542358647 0.585238743707836
"15" "Sample_015" 8 60.5472222222222 17.9172222222222 "Forest" "Forest" 4 "Forest" "04-aug" "Moraine" 6079.25585365596 71.5 0.52 5.7 3.3 15.5 24.2 867 33 51 16.6 0.947 17.5 3.66 -28.37 86.3 16.7 101.5 118.2 99.6 164.7 264.4 82.9 63.2 146.2 107250 6.39145350625 646.26475274 NA NA NA NA NA NA NA NA NA 2.412 7.50158033915242 2.02344924087456 3.65160487102503 0.768781312213518 7.91086320477662 -1.29395309706428 820.7220832 3.400949989 3.460881165 0.211433164 5.19887921662156 3.55523183012061 0.683845821759818
"16" "Sample_016" 8 60.5030555555556 17.8519444444444 "Abandoned arable field" "Recent" 2 "Grassland" "04-aug" "Glacial clay" 6079.25585365596 34 1.18 5.7 3 15.4 15.3 369 24 50 6.58 0.575 11.4 3.78 -29.11 77.6 7.8 8.5 16.3 11.4 95.3 106.6 3.6 86.8 90.3 107250 6.39145350625 646.26475274 434.132405879428 16.079834193512 444.501959001418 34.9 16.4025180157593 2.91632396794335 32.1955204937921 51.7444444444444 1.60719390930243 0.692 5.68867166174143 0.527531117369798 9.17925763470124 4.23723979445498 6.58959085097284 0.757494286374905 506.2422335 2.515870849 2.830491424 0.198992184 5.0043696784678 2.81882270960892 0.563272278172696
"17" "Sample_017" 9 60.5469444444444 17.91 "Forest" "Forest" 4 "Forest" "04-aug" "Moraine" 6282.7456074477 67.6 0.51 5 2.2 13.7 21.1 311 41 32 10.5 0.365 28.8 2.54 -28.11 53.6 11.6 0 11.6 35.3 0 35.3 23.7 0 23.7 107250 6.39145350625 646.26475274 503.974466541247 34.5458480785791 549.897304037017 108.54 7.85740389150943 0.853786675314362 15.5951501686554 147.305625468644 9.44560481146969 1.479 9.86290156361108 3.62962697153894 15.3679812349792 12.6387726176809 10.8174991303095 0.81182807047004 446.6241388 2.028456969 3.011072137 0.205913803 4.98174140632394 3.57424152485245 0.717468297394005
"18" "Sample_018" 9 60.4994444444444 17.8480555555556 "Abandoned grassland" "Recent" 2 "Grassland" "05-aug" "Moraine" 6282.7456074477 165.2 0.3 5 6.3 28.7 25.4 328 24 55 30.8 2.26 13.6 2.44 -26.91 92.4 43.6 315.7 359.3 266.7 392.7 659.4 223.1 77 300.1 107250 6.39145350625 646.26475274 452.10379701871 21.1249658652207 415.99769719007 69.4875 10.8649285714286 1.47716666666667 24.9909295912488 54.3323330766502 2.1740821156039 1.183 22.2084359573259 2.46925781764833 31.6202715514269 13.3070598984345 20.4876003053766 3.69860453418042 537.3099015 2.453892334 2.753525472 0.212826273 4.27848442828274 2.24190454085857 0.523995021704078
"19" "Sample_019" 10 60.5433333333333 17.9244444444444 "Forest" "Forest" 4 "Forest" "05-aug" "Moraine" 6474.28126676713 217.2 0.24 4 9.4 54.2 37.5 264 25 15 46.4 1.41 32.9 -2.31 -28.24 111.4 74.2 0.6 74.8 183.9 0.4 184.4 109.7 -0.2 109.6 107250 6.39145350625 646.26475274 505.432358318206 39.2920610970926 561.146128068499 114.25 6.98613333333333 0.613139577936941 13.1114753736412 166.466242210395 12.6962250598474 8.956 15.8947905259042 -3.16248625125623 24.6169082953723 23.8791876593952 12.1537571996677 -7.23226506241253 NA NA NA NA 5.068020345486 4.05881039057255 0.800867027731579
"20" "Sample_020" 10 60.4986111111111 17.8488888888889 "Grazed arable field" "Managed" 1 "Grassland" "05-aug" "Moraine" 6474.28126676713 36.2 0.9 5.4 3.6 13.1 19.3 286 31 46 8.5 0.694 12.2 3.05 -28.6 76.5 17.9 1.7 19.6 137.9 1 139 120 -0.7 119.4 107250 6.39145350625 646.26475274 454.351053861087 19.7616984853541 456.107517190187 46.9388888888889 13.586808556441 1.54349278733212 27.4813486838588 65.8007505350656 2.39437850347256 0.419 2.50386686940389 1.62330291231234 5.176502046423 3.57526068819953 4.22843985289727 0.540703431174852 NA NA NA NA 4.75083550579928 3.17176300947416 0.667622148904637
"21" "Sample_021" 11 60.5466666666667 17.4547222222222 "Forest" "Forest" 4 "Forest" "06-aug" "Sand" 4100.07616336861 14.715667511717 0.938144434624488 5.9 1 5.6 5.9 159 21 15 2.72 0.117 23.2 0.69 -28.5 NA 2.2 7.3 9.5 11 6.1 17.2 8.8 -1.2 7.7 107340 6.25426743274 648.586562556 501.220068416413 35.0946108335515 556.471144257453 122 7.66228923264156 0.705441777648193 15.6643710163307 155.098498550381 9.90135501697997 0.587 2.22243349814546 0.302209425579116 4.66321116830657 5.94211079205399 1.91476563742724 -0.290232542167059 NA NA NA NA 5.07758645054283 3.75848823228377 0.740211568801938
"22" "Sample_022" 11 60.5162237162794 17.4125804175438 "Abandoned former arable field" "Late" 3 "Grassland" "06-aug" "Sand" 4100.07616336861 55.3376904558518 0.974404905011677 5.1 3.5 7.8 3.2 52 63 55 4.94 0.399 12.4 5.06 -27.99 NA 8.1 7 15.1 78.9 0.3 79.3 70.8 -6.7 64.2 107340 6.25426743274 648.586562556 454.789908969747 17.381857138469 489.740725683685 NA 17.0537578125 0.371035983445806 29.2465192811581 74.2769552417541 2.53968530503411 0.91 2.32660256087503 0.980771433151057 3.05683441471178 1.72119292675271 3.94872264129404 -0.286252250185918 NA NA NA NA 4.73712612070707 3.04098822359408 0.641947912322034
"23" "Sample_023" 12 60.5502777777778 17.455 "Forest" "Forest" 4 "Forest" "06-aug" "Sand" NA NA NA 5 2.4 6.3 4.7 32 33 30 2.47 0.128 19.3 1.23 -27.71 NA 5.1 0 5.1 35.1 0 35.1 30 0 30 107340 6.25426743274 648.586562556 507.892127007051 39.4142291291464 561.146128068499 122 7.23075 0.60225780575451 13.2264946056815 166.466242210395 12.5858171173252 NA NA NA NA NA NA NA NA NA NA NA 4.72370867134898 3.29581384281862 0.697717423347663
"24" "Sample_024" 13 60.3288888888889 16.8094444444444 "Forest" "Forest" 4 "Forest" "06-aug" "Fine sand" 5914.34888836993 24.2945910155852 0.554037412904325 4.3 2.5 9.6 4.7 30 49 37 5.99 0.208 28.8 2.4 -28.18 NA 7.8 0 7.8 40.2 0 40.2 32.4 0 32.4 106180 5.91028884631 589.441024136 501.109845562467 37.0357310369226 552.234248301111 122 8.10663430059524 0.935810666167498 14.9107223107449 158.708054167324 10.6438877245374 0.883 4.0542562455114 3.8212977022363 7.62948656113471 8.57940946986324 4.59924327697787 -0.655186677920586 NA NA NA NA 4.38655281689289 3.2546490981577 0.741960540318549
"25" "Sample_025" 13 60.3055555555556 16.9058333333333 "Abandoned former arable field" "Late" 3 "Grassland" "06-aug" "Glacial clay" 5914.34888836993 32.5859143765766 0.779727095516569 5.9 5.6 26.2 28.5 592 45 154 5.81 0.418 13.9 3.83 -27.85 NA 4.6 13.8 18.4 1.7 19.2 20.9 -2.9 5.4 2.5 106170 5.91028884631 616.438322213 445.818549172925 23.161562887036 436.836598335696 83.25 11.3827239583333 1.38241432531917 22.560236182693 NA NA 0.711 12.7098686512844 1.20237328424587 20.1695656395005 5.98596249962868 13.3603356380807 0.049775821059388 NA NA NA NA 5.02724252629657 3.46899253469528 0.690038826762312
"26" "Sample_026" 14 60.3288888888889 16.8269444444444 "Forest" "Forest" 4 "Forest" "06-aug" "Moraine" 6056.81691046029 514.841101278269 0.120887046800557 3.8 7.9 32.5 17 59 31 15 32.6 0.921 35.4 0.56 -28.21 NA 105.6 0 105.6 160.3 0 160.3 54.7 0 54.7 106180 5.91028884631 589.441024136 505.025069901701 39.0218100987247 558.601045886653 122 7.14555560606061 0.590697308017903 13.9304169536659 164.864227939806 11.8348380014872 2.555 14.6360673226042 7.72936862441234 21.3466850449497 22.9988636582476 15.0096572936474 -1.61335441171528 450.9973363 1.587381148 2.796822727 0.210686304 4.84210240563279 3.67846826452917 0.759684111647459
"27" "Sample_027" 14 60.2952777777778 16.9133333333333 "Grazed grassland" "Managed" 1 "Grassland" "06-aug" "Moraine" 6056.81691046029 61.7411864073401 0.634826305292279 5 5.3 19.9 21.9 107 83 117 6.24 0.461 13.5 5.91 -27.47 NA 12.5 12.5 25 127.5 1.4 128.9 115 -11.1 103.9 106170 5.91028884631 616.438322213 437.444075919056 20.918672536804 456 34.9 14.459770773639 NA 23.7140165103057 50.5 2.12954224679963 0.429 9.4389411964026 3.00640581596001 5.5374546086673 9.27654374893704 11.5700679087029 0.768150789018189 440.1328483 2.469782543 3.048899906 0.223738723 4.82513994244373 3.32858304232092 0.689841762524123
"28" "Sample_028" 15 60.7436111111111 16.4658333333333 "Forest" "Forest" 4 "Forest" "07-aug" "Moraine" NA NA NA 4.7 7.6 50.7 32.7 185 176 209 35.2 1.4 25.1 2.27 -27.96 NA 119.3 2.2 121.5 371.1 0.8 371.8 251.8 -1.4 250.3 106460 4.65274684438 691.303085954 495.892559359433 30.9187685904733 NA 75.91 8.8546 0.836 17.5738493426226 NA NA NA NA NA NA NA NA NA NA NA NA NA 3.9935183811417 2.80826114940958 0.703204763666754
"29" "Sample_029" 16 60.7433333333333 16.4744444444444 "Forest" "Forest" 4 "Forest" "07-aug" "Moraine" 1679.06393353279 NA NA NA NA NA NA NA NA NA 27.1 0.723 37.5 0.59 -28.88 NA 38.8 0 38.8 236.2 0 236.2 197.4 0 197.4 106460 4.65274684438 691.303085954 503.623427891848 38.1288494458305 555.550699623314 118.125 7.3779259672619 0.717882402607203 14.0302996283765 160.44815634786 11.4358324909435 NA NA NA NA NA NA NA NA NA NA NA 4.81875787779377 3.33745547702175 0.692596632090959
"30" "Sample_030" 16 60.7577777777778 16.4655555555556 "Abandoned former arable field" "Late" 3 "Grassland" "07-aug" "Silt" 1679.06393353279 131.3 0.53 5 5 15.2 10.7 107 202 105 12.1 0.852 14.2 4.49 -28.16 64.1 20.9 106.2 127.1 175.4 8.6 184 154.5 -97.6 56.9 106460 4.65274684438 691.303085954 448.160457089251 26.5499579471044 412.797748993128 64.9 10.8717386363636 0.643181818181818 24.4090243192882 NA NA NA NA NA NA NA NA NA NA NA NA NA 4.85158137583766 2.85274198627688 0.58800250171715
"31" "Sample_031" 17 60.7397222222222 16.4558333333333 "Forest" "Forest" 4 "Forest" "07-aug" "Moraine" 2114.53497260627 24.1 1.2 4.4 9.7 62.4 31.3 189 65 15 42.1 1.53 27.5 0.63 -28.05 505.2 140.8 1 141.8 383.4 0.3 383.7 242.6 -0.7 241.9 106460 4.64702766997 691.303085954 496.117016206886 25.0053033066702 NA 70.405 10.9898 0.9705 21.2656875154796 NA NA 3.724 27.1507893990845 2.87209747086672 50.5812223225162 81.4662216612634 42.5556580649457 -0.978936601173911 NA NA NA NA 4.95256197475484 3.82612917118412 0.772555536041227
"32" "Sample_032" 17 60.7583333333333 16.4636111111111 "Abandoned arable field" "Recent" 2 "Grassland" "07-aug" "Silt" 2114.53497260627 44 1.06 5.2 3.4 20.2 14.7 99 58 22 4.4 0.356 12.4 4.53 -28.43 46.6 11.9 54.9 66.8 105.4 12.8 118.1 93.5 -42.1 51.3 106460 4.65274684438 691.303085954 438.741076669461 19.5859843919416 429.24932291646 34.9 13.7221984334942 2.49770247996459 25.8678949356381 50.2605263157895 1.94296932320325 0.564 7.12595243921148 1.44238826612959 8.66514442850058 4.1052463209678 9.0120397304077 2.30752359953853 NA NA NA NA 4.95402129877114 3.28201809484425 0.662495757872168
"33" "Sample_033" 18 60.7436131550564 16.4565241131501 "Forest" "Forest" 4 "Forest" "07-aug" "Moraine" 1807.29605609516 33.2 0.78 4.8 3.5 24 43.6 186 24 33 33.5 1.22 27.5 1.2 -27.95 261.3 129.6 1.4 131 461.3 1.5 462.8 331.7 0.1 331.8 106460 4.64702766997 691.303085954 492.098199636452 30.7816948335259 501.738237608914 77.745 8.37976761412576 0.928461727174732 17.6026348711363 98.4403429383375 5.59236407838884 7.168 34.5442069477956 3.33688547722831 33.57782724856 15.2161077127147 37.4496898512783 0.878921785247334 NA NA NA NA 4.93885183439534 3.92209856323281 0.794131651392817
"34" "Sample_034" 18 60.7588888888889 16.4677777777778 "Grazed arable field" "Managed" 1 "Grassland" "07-aug" "Sand" 1807.29605609516 29.2 1.14 5.2 2.4 7.9 5.2 61 110 29 5.63 0.447 12.6 4.84 -28.28 64.2 10.4 16.9 27.3 110.8 6.7 117.6 100.4 -10.2 90.3 106460 4.65274684438 691.303085954 453.017108181238 20.1395253987121 421.848386357658 NA 12.9968835784314 1.67959155199371 26.3856749463273 51.5568181818182 1.95397003437255 0.234 2.98647390561717 0.743270919089601 4.85143628503604 3.53443169434279 6.99603099917518 0.386253096709106 NA NA NA NA 4.76185399744931 3.00461722530744 0.630976343860367
"35" "Sample_035" 19 60.5555555555556 15.1761111111111 "Forest" "Forest" 4 "Forest" "08-aug" "Peat" 3004.31169079216 29.4 1.13 4.1 5.6 24.8 8.4 46 66 26 15.2 0.537 28.3 -0.42 -27.45 171.8 32.3 0.2 32.5 127.5 0 127.5 95.2 -0.2 95 105360 5.30965473745 636.091341495 495.179006741646 38.6783678243335 523.873343284009 83.25 6.01009590409591 0.65742469695917 12.7426217561719 65.1939253200822 5.1162097225797 1.63 1.94186643293382 0.392982960027027 6.10156787305095 9.8665313828388 4.87955716985752 0.693155330167125 NA NA NA NA 3.77385632522248 2.24412852497334 0.594651288119996
"36" "Sample_036" 19 60.5372222222222 15.1358333333333 "Grazed arable field" "Managed" 1 "Grassland" "08-aug" "Glacial silt" 3004.31169079216 27.8 1.57 5.5 4.8 15.6 15.6 74 29 40 3.64 0.286 12.7 3.93 -29.72 57.1 12 39.8 51.8 8.3 6.2 14.5 -3.7 -33.6 -37.3 105360 5.30965473745 636.091341495 444.77158411534 18.1963570936393 442.928996832038 NA 21.2969711538462 5.24981759635664 30.7939560757699 61.1027770647692 1.98424576934588 0.157 0.662694577901108 0.497271464604073 0.323849482724413 0.380876958660933 1.116926376553 0.166683870028253 NA NA NA NA 4.97468942803178 3.0319626293498 0.609477772072575
"37" "Sample_037" 20 60.56 15.1758333333333 "Forest" "Forest" 4 "Forest" "08-aug" "Moraine" 3624.84979944805 354.9 0.16 3.8 4.5 28.1 9.3 40 54 24 20.1 0.571 35.2 0.68 -27.97 32.2 44.7 0 44.7 89.6 0 89.6 44.9 0 44.9 105360 5.30965473745 636.091341495 495.593283562828 38.8033889688775 NA 83.25 6.00766666666667 0.656666666666667 12.6513984454798 NA NA 1.192 0.758752493483064 0.423385557230149 1.75280193800595 2.36931705505628 0.952547128394227 -0.293099037630334 NA NA NA NA 3.9098679317915 2.58774794014116 0.661850473030032
"38" "Sample_038" 20 60.5372336183444 15.1284835236931 "Grazed former arable field" "Managed" 1 "Grassland" "08-aug" "Sandy silt" 3624.84979944805 44.9 1.03 5 4.6 13.6 7.5 102 24 61 3.65 0.243 15 4.22 -29.06 37.6 7.8 5.5 13.3 190.2 0 190.2 182.4 -5.5 176.9 105360 5.30965473745 636.091341495 445.452858980779 19.3154116885364 427.288116887944 64.9 12.919016025641 1.48688732799056 27.3259908378561 55.7352540641128 2.03964256574733 0.266 2.58937994994473 5.07181904510982 2.27131307231112 2.27749134179597 5.64933518358561 0.100865958775462 NA NA NA NA 4.95601751434103 3.34464223087054 0.674864893272126
"39" "Sample_039" 22 59.8588888888889 16.0455555555556 "Abandoned former arable field" "Late" 3 "Grassland" "09-aug" "Moraine" NA NA NA 5.4 3.4 22.6 45.9 191 31 45 5.37 0.358 15 2.1 -28.46 NA 5.8 1.2 7 62.4 3.5 65.9 56.6 2.3 58.9 96420 6.30361388889 659.052289502 453.708772004785 19.8304721048772 435.418407708715 64.9 15.2342145833333 2.13840039779485 25.3459793004056 69.2936755596618 2.73391194470647 NA NA NA NA NA NA NA NA NA NA NA 4.98205723563352 3.3606614121503 0.67455295136186
"40" "Sample_040" 23 59.8572222222222 16.0455555555556 "Abandoned grassland" "Recent" 2 "Grassland" "09-aug" "Glacial clay" NA NA NA 5.3 5.5 48.9 31.4 195 79 51 5.09 0.36 14.1 1.57 -28.34 NA 6.1 1.2 7.3 23.4 24.9 48.2 17.3 23.7 40.9 96420 6.30361388889 659.052289502 454.280864705267 19.4263847468773 452.732079249975 71.0166666666667 14.400271577381 1.89062650783297 26.8573074393993 45.3013241774468 1.68674109568372 NA NA NA NA NA NA NA NA NA NA NA 5.16817570632931 3.27223694816337 0.633151257639317
"41" "Sample_041" 24 59.8569444444444 16.0436111111111 "Abandoned arable field" "Recent" 2 "Grassland" "09-aug" "Glacial clay" NA NA NA 5.3 3.6 26 36.2 193 28 38 5.67 0.395 14.4 2.43 -28.69 NA 4.9 0.6 5.5 82.7 6.2 88.9 77.8 5.6 83.4 96420 6.30361388889 659.052289502 443.946938435728 19.6104148815083 458.174840907585 NA 13.4371625 1.14262211588587 25.5947679302858 70.0450817490808 2.73669532538319 NA NA NA NA NA NA NA NA NA NA NA 4.95135336810844 3.13451649070496 0.633062570507352
